acc_x[mg],acc_y[mg],acc_z[mg]
-13.0,-54.0,-993.0
-13.0,-55.0,-993.0
-13.0,-54.0,-993.0
-12.0,-54.0,-992.0
-13.0,-54.0,-992.0
-13.0,-55.0,-993.0
-12.0,-55.0,-993.0
-14.0,-54.0,-993.0
-14.0,-54.0,-993.0
-13.0,-55.0,-993.0
-12.0,-55.0,-992.0
-13.0,-54.0,-994.0
-13.0,-53.0,-992.0
-13.0,-55.0,-993.0
-13.0,-55.0,-993.0
-14.0,-54.0,-992.0
-13.0,-54.0,-992.0
-13.0,-54.0,-991.0
-13.0,-54.0,-993.0
-13.0,-55.0,-995.0
-13.0,-55.0,-991.0
-14.0,-54.0,-992.0
-13.0,-56.0,-994.0
-13.0,-54.0,-993.0
-14.0,-54.0,-994.0
-12.0,-55.0,-992.0
-14.0,-56.0,-993.0
-13.0,-54.0,-992.0
-14.0,-53.0,-992.0
-11.0,-55.0,-992.0
-12.0,-54.0,-993.0
-12.0,-54.0,-993.0
-13.0,-54.0,-993.0
-12.0,-54.0,-993.0
-13.0,-55.0,-994.0
-12.0,-54.0,-993.0
-12.0,-55.0,-992.0
-13.0,-54.0,-993.0
-13.0,-54.0,-994.0
-13.0,-54.0,-992.0
-12.0,-54.0,-992.0
-13.0,-55.0,-993.0
-13.0,-54.0,-994.0
-14.0,-54.0,-993.0
-12.0,-53.0,-993.0
-13.0,-54.0,-992.0
-12.0,-54.0,-992.0
-13.0,-54.0,-992.0
-13.0,-54.0,-993.0
-13.0,-54.0,-993.0
-13.0,-54.0,-994.0
-13.0,-55.0,-994.0
-12.0,-54.0,-993.0
-13.0,-55.0,-995.0
-12.0,-55.0,-993.0
-12.0,-54.0,-992.0
-13.0,-55.0,-994.0
-14.0,-54.0,-991.0
-14.0,-54.0,-992.0
-11.0,-55.0,-993.0
-13.0,-54.0,-992.0
-12.0,-53.0,-993.0
-15.0,-53.0,-992.0
-12.0,-55.0,-992.0
-12.0,-54.0,-993.0
-11.0,-53.0,-994.0
-12.0,-54.0,-992.0
-13.0,-53.0,-993.0
-13.0,-55.0,-993.0
-13.0,-54.0,-993.0
-12.0,-54.0,-993.0
-13.0,-53.0,-993.0
-13.0,-55.0,-994.0
-13.0,-54.0,-993.0
-12.0,-54.0,-993.0
-13.0,-53.0,-993.0
-13.0,-53.0,-992.0
-13.0,-54.0,-994.0
-12.0,-54.0,-992.0
-14.0,-54.0,-994.0
-13.0,-53.0,-993.0
-12.0,-53.0,-992.0
-12.0,-54.0,-993.0
-13.0,-53.0,-993.0
-13.0,-54.0,-993.0
-13.0,-55.0,-992.0
-12.0,-54.0,-992.0
-13.0,-54.0,-993.0
-13.0,-54.0,-994.0
-13.0,-55.0,-993.0
-13.0,-54.0,-992.0
-13.0,-56.0,-994.0
-13.0,-54.0,-993.0
-13.0,-54.0,-992.0
-13.0,-53.0,-992.0
-12.0,-54.0,-993.0
-12.0,-54.0,-992.0
-13.0,-55.0,-993.0
-13.0,-54.0,-993.0
-14.0,-55.0,-993.0
-13.0,-54.0,-993.0
-14.0,-54.0,-993.0
-13.0,-54.0,-993.0
-13.0,-55.0,-993.0
-12.0,-54.0,-992.0
-14.0,-54.0,-993.0
-12.0,-54.0,-993.0
-13.0,-54.0,-994.0
-12.0,-54.0,-993.0
-13.0,-54.0,-993.0
-13.0,-55.0,-992.0
-12.0,-54.0,-992.0
-13.0,-53.0,-992.0
-13.0,-54.0,-993.0
-13.0,-54.0,-993.0
-14.0,-53.0,-993.0
-13.0,-53.0,-992.0
-13.0,-55.0,-992.0
-12.0,-54.0,-992.0
-13.0,-54.0,-992.0
-13.0,-55.0,-992.0
-14.0,-53.0,-992.0
-13.0,-54.0,-993.0
-13.0,-55.0,-993.0
-13.0,-54.0,-993.0
-13.0,-54.0,-993.0
-13.0,-55.0,-993.0
-14.0,-53.0,-992.0
-13.0,-54.0,-994.0
-14.0,-54.0,-993.0
-12.0,-55.0,-993.0
-13.0,-54.0,-993.0
-14.0,-54.0,-993.0
-12.0,-54.0,-992.0
-13.0,-54.0,-992.0
-12.0,-55.0,-993.0
-13.0,-54.0,-992.0
-12.0,-54.0,-993.0
-14.0,-54.0,-993.0
-13.0,-54.0,-993.0
-13.0,-54.0,-993.0
-13.0,-53.0,-993.0
-13.0,-54.0,-993.0
-13.0,-55.0,-993.0
-13.0,-54.0,-993.0
-13.0,-54.0,-993.0
-14.0,-54.0,-993.0
-12.0,-55.0,-993.0
-13.0,-54.0,-992.0
-13.0,-54.0,-992.0
-12.0,-54.0,-993.0
-13.0,-55.0,-993.0
-14.0,-55.0,-992.0
-12.0,-54.0,-993.0
-13.0,-54.0,-992.0
-13.0,-53.0,-992.0
-13.0,-55.0,-993.0
-13.0,-54.0,-993.0
-13.0,-55.0,-993.0
-13.0,-54.0,-994.0
-13.0,-55.0,-993.0
-13.0,-55.0,-993.0
-13.0,-54.0,-993.0
-12.0,-54.0,-994.0
-13.0,-54.0,-993.0
-13.0,-55.0,-993.0
-13.0,-55.0,-992.0
-13.0,-55.0,-993.0
-14.0,-54.0,-994.0
-13.0,-54.0,-992.0
-12.0,-54.0,-993.0
-13.0,-54.0,-992.0
-13.0,-53.0,-992.0
-12.0,-53.0,-993.0
-13.0,-54.0,-992.0
-13.0,-54.0,-993.0
-13.0,-54.0,-992.0
-12.0,-55.0,-993.0
-13.0,-54.0,-992.0
-14.0,-54.0,-994.0
-13.0,-54.0,-992.0
-12.0,-54.0,-992.0
-13.0,-54.0,-993.0
-12.0,-55.0,-993.0
-13.0,-54.0,-993.0
-12.0,-54.0,-992.0
-12.0,-54.0,-992.0
-14.0,-54.0,-993.0
-12.0,-55.0,-993.0
-12.0,-55.0,-993.0
-13.0,-56.0,-993.0
-12.0,-55.0,-993.0
-12.0,-54.0,-993.0
-13.0,-55.0,-992.0
-12.0,-54.0,-993.0
-13.0,-54.0,-992.0
-13.0,-54.0,-993.0
-12.0,-54.0,-993.0
-13.0,-53.0,-993.0
-13.0,-54.0,-993.0
-13.0,-53.0,-992.0
-13.0,-54.0,-992.0
-13.0,-55.0,-993.0
-13.0,-53.0,-993.0
-12.0,-55.0,-993.0
-12.0,-53.0,-993.0
-12.0,-54.0,-993.0
-13.0,-55.0,-993.0
-13.0,-54.0,-993.0
-13.0,-53.0,-993.0
-12.0,-54.0,-992.0
-13.0,-54.0,-993.0
-11.0,-54.0,-993.0
-13.0,-54.0,-992.0
-13.0,-55.0,-992.0
-13.0,-54.0,-992.0
-13.0,-54.0,-993.0
-13.0,-53.0,-992.0
-14.0,-54.0,-993.0
-13.0,-55.0,-993.0
-14.0,-54.0,-993.0
-13.0,-54.0,-993.0
-12.0,-53.0,-992.0
-11.0,-55.0,-992.0
-12.0,-55.0,-993.0
-13.0,-54.0,-992.0
-13.0,-54.0,-993.0
-12.0,-54.0,-993.0
-12.0,-55.0,-993.0
-12.0,-54.0,-993.0
-14.0,-55.0,-992.0
-14.0,-52.0,-992.0
-13.0,-54.0,-993.0
-13.0,-55.0,-993.0
-13.0,-55.0,-993.0
-13.0,-55.0,-993.0
-13.0,-54.0,-993.0
-13.0,-54.0,-993.0
-13.0,-54.0,-992.0
-13.0,-55.0,-993.0
-13.0,-55.0,-993.0
-12.0,-54.0,-993.0
-13.0,-54.0,-993.0
-12.0,-54.0,-993.0
-13.0,-54.0,-992.0
-12.0,-55.0,-993.0
-12.0,-54.0,-992.0
-13.0,-54.0,-993.0
-12.0,-54.0,-992.0
-13.0,-54.0,-992.0
-13.0,-54.0,-992.0
-12.0,-54.0,-993.0
-12.0,-55.0,-992.0
-13.0,-54.0,-992.0
-12.0,-54.0,-992.0
-12.0,-54.0,-993.0
-13.0,-55.0,-993.0
-13.0,-55.0,-993.0
-13.0,-55.0,-993.0
-13.0,-54.0,-993.0
-12.0,-55.0,-993.0
-12.0,-55.0,-993.0
-13.0,-55.0,-993.0
-13.0,-54.0,-992.0
-13.0,-54.0,-992.0
-11.0,-54.0,-993.0
-13.0,-55.0,-993.0
-13.0,-54.0,-993.0
-13.0,-55.0,-993.0
-12.0,-54.0,-993.0
-13.0,-54.0,-993.0
-13.0,-54.0,-993.0
-12.0,-55.0,-994.0
-12.0,-55.0,-993.0
-12.0,-54.0,-993.0
-12.0,-54.0,-993.0
-13.0,-55.0,-992.0
-13.0,-54.0,-993.0
-13.0,-55.0,-992.0
-13.0,-55.0,-993.0
-12.0,-54.0,-992.0
-13.0,-54.0,-992.0
-13.0,-55.0,-993.0
-13.0,-54.0,-992.0
-12.0,-54.0,-993.0
-13.0,-54.0,-993.0
-13.0,-54.0,-992.0
-13.0,-54.0,-992.0
-12.0,-54.0,-992.0
-13.0,-54.0,-993.0
-13.0,-53.0,-992.0
-13.0,-55.0,-993.0
-14.0,-54.0,-993.0
-12.0,-55.0,-992.0
-13.0,-55.0,-993.0
-13.0,-54.0,-993.0
-12.0,-54.0,-993.0
-13.0,-54.0,-993.0
-13.0,-53.0,-993.0
-12.0,-54.0,-992.0
-13.0,-54.0,-992.0
-14.0,-55.0,-992.0
-13.0,-54.0,-993.0
-13.0,-54.0,-992.0
-12.0,-55.0,-992.0
-12.0,-54.0,-993.0
-13.0,-54.0,-993.0
-13.0,-54.0,-993.0
-12.0,-54.0,-991.0
-15.0,-54.0,-992.0
-12.0,-55.0,-992.0
-13.0,-54.0,-992.0
-13.0,-55.0,-993.0
-12.0,-53.0,-993.0
-12.0,-54.0,-993.0
-13.0,-54.0,-993.0
-13.0,-54.0,-994.0
-14.0,-54.0,-993.0
-12.0,-55.0,-992.0
-13.0,-54.0,-993.0
-13.0,-54.0,-992.0
-12.0,-54.0,-993.0
-14.0,-54.0,-993.0
-13.0,-54.0,-994.0
-13.0,-54.0,-992.0
-14.0,-54.0,-993.0
-12.0,-55.0,-993.0
-13.0,-53.0,-993.0
-13.0,-54.0,-993.0
-13.0,-54.0,-993.0
-14.0,-55.0,-992.0
-13.0,-55.0,-992.0
-13.0,-55.0,-991.0
-13.0,-54.0,-992.0
-14.0,-55.0,-993.0
-14.0,-54.0,-992.0
-13.0,-54.0,-992.0
-13.0,-54.0,-992.0
-12.0,-53.0,-993.0
-13.0,-54.0,-992.0
-13.0,-55.0,-993.0
-13.0,-54.0,-993.0
-13.0,-55.0,-992.0
-13.0,-54.0,-993.0
-14.0,-54.0,-993.0
-12.0,-55.0,-992.0
-14.0,-54.0,-992.0
-13.0,-54.0,-992.0
-13.0,-55.0,-992.0
-13.0,-55.0,-993.0
-13.0,-53.0,-992.0
-12.0,-55.0,-992.0
-14.0,-54.0,-992.0
-14.0,-55.0,-993.0
-12.0,-54.0,-993.0
-13.0,-55.0,-993.0
-12.0,-54.0,-992.0
-13.0,-54.0,-993.0
-12.0,-53.0,-993.0
-13.0,-54.0,-994.0
-13.0,-55.0,-992.0
-13.0,-55.0,-993.0
-14.0,-55.0,-993.0
-13.0,-56.0,-993.0
-12.0,-54.0,-992.0
-13.0,-53.0,-992.0
-12.0,-55.0,-993.0
-14.0,-53.0,-993.0
-13.0,-54.0,-993.0
-13.0,-54.0,-992.0
-13.0,-55.0,-992.0
-13.0,-54.0,-993.0
-12.0,-54.0,-992.0
-13.0,-54.0,-993.0
-13.0,-54.0,-993.0
-13.0,-54.0,-992.0
-13.0,-55.0,-992.0
-13.0,-53.0,-992.0
-13.0,-54.0,-992.0
-14.0,-55.0,-993.0
-13.0,-54.0,-993.0
-13.0,-54.0,-992.0
-13.0,-54.0,-993.0
-13.0,-55.0,-993.0
-12.0,-54.0,-993.0
-13.0,-54.0,-992.0
-12.0,-55.0,-993.0
-12.0,-54.0,-993.0
-13.0,-55.0,-993.0
-13.0,-54.0,-992.0
-13.0,-53.0,-993.0
-14.0,-53.0,-993.0
-13.0,-53.0,-993.0
-12.0,-55.0,-993.0
-12.0,-55.0,-994.0
-12.0,-54.0,-993.0
-12.0,-54.0,-993.0
-13.0,-55.0,-993.0
-13.0,-55.0,-992.0
-13.0,-54.0,-993.0
-12.0,-53.0,-993.0
-14.0,-54.0,-992.0
-13.0,-54.0,-993.0
-12.0,-54.0,-993.0
-12.0,-54.0,-993.0
-13.0,-55.0,-993.0
-12.0,-54.0,-993.0
-13.0,-55.0,-992.0
-12.0,-54.0,-993.0
-14.0,-54.0,-993.0
-13.0,-54.0,-992.0
-12.0,-54.0,-992.0
-13.0,-54.0,-993.0
-13.0,-54.0,-992.0
-12.0,-54.0,-992.0
-12.0,-53.0,-994.0
-13.0,-54.0,-993.0
-13.0,-53.0,-993.0
-13.0,-54.0,-993.0
-15.0,-54.0,-993.0
-13.0,-54.0,-992.0
-13.0,-54.0,-993.0
-12.0,-54.0,-993.0
-13.0,-54.0,-993.0
-12.0,-54.0,-992.0
-14.0,-55.0,-991.0
-13.0,-54.0,-993.0
-13.0,-54.0,-993.0
-12.0,-54.0,-993.0
-13.0,-53.0,-992.0
-13.0,-54.0,-993.0
-13.0,-55.0,-992.0
-12.0,-54.0,-991.0
-13.0,-53.0,-992.0
-14.0,-54.0,-993.0
-14.0,-54.0,-993.0
-13.0,-54.0,-992.0
-13.0,-54.0,-993.0
-13.0,-53.0,-993.0
-14.0,-55.0,-993.0
-13.0,-53.0,-993.0
-13.0,-55.0,-992.0
-12.0,-54.0,-992.0
-14.0,-54.0,-994.0
-13.0,-54.0,-994.0
-13.0,-54.0,-993.0
-13.0,-54.0,-993.0
-12.0,-53.0,-992.0
-13.0,-54.0,-993.0
-12.0,-54.0,-992.0
-12.0,-54.0,-993.0
-13.0,-55.0,-992.0
-13.0,-55.0,-993.0
-14.0,-54.0,-992.0
-13.0,-54.0,-992.0
-14.0,-55.0,-993.0
-13.0,-54.0,-992.0
-13.0,-54.0,-993.0
-12.0,-55.0,-992.0
-13.0,-54.0,-992.0
-13.0,-54.0,-992.0
-13.0,-54.0,-993.0
-13.0,-54.0,-994.0
-14.0,-54.0,-992.0
-12.0,-53.0,-992.0
-13.0,-53.0,-992.0
-13.0,-54.0,-992.0
-12.0,-55.0,-994.0
-12.0,-54.0,-993.0
-13.0,-54.0,-994.0
-13.0,-54.0,-993.0
-14.0,-54.0,-993.0
-13.0,-53.0,-993.0
-13.0,-54.0,-993.0
-14.0,-54.0,-992.0
-13.0,-54.0,-993.0
-13.0,-55.0,-993.0
-12.0,-54.0,-993.0
-14.0,-54.0,-993.0
-12.0,-54.0,-991.0
-13.0,-54.0,-993.0
-14.0,-53.0,-994.0
-13.0,-54.0,-993.0
-14.0,-54.0,-993.0
-12.0,-54.0,-993.0
-12.0,-54.0,-992.0
-13.0,-54.0,-992.0
-12.0,-54.0,-992.0
-13.0,-53.0,-993.0
-14.0,-54.0,-992.0
-13.0,-54.0,-993.0
-13.0,-54.0,-994.0
-13.0,-54.0,-993.0
-12.0,-54.0,-993.0
-13.0,-54.0,-994.0
-13.0,-54.0,-993.0
-13.0,-54.0,-994.0
-12.0,-54.0,-993.0
-12.0,-53.0,-993.0
-12.0,-54.0,-993.0
-14.0,-54.0,-993.0
-13.0,-54.0,-992.0
-13.0,-53.0,-993.0
-14.0,-53.0,-992.0
-13.0,-54.0,-993.0
-13.0,-54.0,-993.0
-13.0,-55.0,-993.0
-13.0,-53.0,-992.0
-14.0,-53.0,-992.0
-12.0,-54.0,-991.0
-13.0,-54.0,-993.0
-13.0,-54.0,-992.0
-12.0,-54.0,-992.0
-13.0,-54.0,-993.0
-12.0,-54.0,-993.0
-12.0,-54.0,-993.0
-13.0,-54.0,-994.0
-14.0,-54.0,-992.0
-13.0,-54.0,-993.0
-13.0,-54.0,-993.0
-12.0,-54.0,-993.0
-12.0,-54.0,-991.0
-12.0,-53.0,-993.0
-13.0,-54.0,-992.0
-13.0,-54.0,-996.0
-13.0,-54.0,-990.0
-13.0,-54.0,-993.0
-13.0,-53.0,-992.0
-13.0,-54.0,-992.0
-13.0,-54.0,-992.0
-12.0,-54.0,-992.0
-13.0,-55.0,-993.0
-12.0,-54.0,-993.0
-12.0,-54.0,-994.0
-13.0,-54.0,-994.0
-14.0,-54.0,-993.0
-13.0,-54.0,-991.0
-12.0,-52.0,-993.0
-12.0,-54.0,-992.0
-12.0,-54.0,-991.0
-13.0,-54.0,-994.0
-13.0,-54.0,-992.0
-14.0,-53.0,-994.0
-13.0,-54.0,-992.0
-13.0,-54.0,-992.0
-13.0,-53.0,-992.0
-12.0,-54.0,-993.0
-13.0,-54.0,-992.0
-14.0,-54.0,-994.0
-13.0,-54.0,-994.0
-13.0,-54.0,-992.0
-12.0,-54.0,-992.0
-13.0,-53.0,-993.0
-12.0,-54.0,-993.0
-13.0,-54.0,-992.0
-12.0,-54.0,-993.0
-14.0,-55.0,-992.0
-14.0,-54.0,-993.0
-12.0,-54.0,-993.0
-13.0,-54.0,-994.0
-13.0,-54.0,-993.0
-13.0,-53.0,-993.0
-13.0,-54.0,-992.0
-12.0,-53.0,-992.0
-12.0,-54.0,-992.0
-14.0,-54.0,-993.0
-13.0,-53.0,-995.0
-14.0,-53.0,-993.0
-13.0,-54.0,-992.0
-13.0,-54.0,-991.0
-12.0,-55.0,-991.0
-11.0,-55.0,-993.0
-12.0,-54.0,-995.0
-17.0,-53.0,-996.0
-15.0,-53.0,-990.0
-14.0,-54.0,-993.0
-13.0,-53.0,-994.0
-12.0,-54.0,-992.0
-12.0,-55.0,-992.0
-12.0,-53.0,-992.0
-14.0,-54.0,-994.0
-12.0,-54.0,-992.0
-13.0,-54.0,-990.0
-12.0,-54.0,-992.0
-14.0,-53.0,-992.0
-13.0,-54.0,-993.0
-13.0,-54.0,-992.0
-12.0,-54.0,-993.0
-14.0,-54.0,-993.0
-12.0,-53.0,-992.0
-14.0,-54.0,-993.0
-13.0,-55.0,-993.0
-12.0,-53.0,-993.0
-12.0,-54.0,-993.0
-13.0,-55.0,-993.0
-13.0,-54.0,-992.0
-13.0,-54.0,-992.0
-12.0,-55.0,-992.0
-12.0,-54.0,-992.0
-11.0,-54.0,-993.0
-13.0,-55.0,-992.0
-12.0,-54.0,-992.0
-13.0,-54.0,-992.0
-13.0,-54.0,-993.0
-13.0,-54.0,-993.0
-14.0,-54.0,-993.0
-12.0,-53.0,-992.0
-13.0,-53.0,-993.0
-12.0,-53.0,-993.0
-12.0,-54.0,-993.0
-13.0,-54.0,-993.0
-13.0,-54.0,-993.0
-14.0,-54.0,-992.0
-13.0,-54.0,-993.0
-13.0,-55.0,-993.0
-13.0,-54.0,-992.0
-13.0,-54.0,-992.0
-13.0,-54.0,-993.0
-12.0,-55.0,-993.0
-13.0,-54.0,-993.0
-14.0,-54.0,-993.0
-12.0,-54.0,-993.0
-12.0,-54.0,-993.0
-12.0,-54.0,-993.0
-13.0,-54.0,-993.0
-13.0,-55.0,-993.0
-13.0,-54.0,-993.0
-12.0,-55.0,-992.0
-13.0,-54.0,-992.0
-13.0,-54.0,-993.0
-13.0,-54.0,-992.0
-13.0,-53.0,-992.0
-14.0,-54.0,-992.0
-13.0,-54.0,-993.0
-11.0,-54.0,-993.0
-13.0,-53.0,-994.0
-13.0,-54.0,-992.0
-14.0,-55.0,-993.0
-13.0,-54.0,-993.0
-13.0,-54.0,-992.0
-13.0,-54.0,-993.0
-13.0,-54.0,-993.0
-13.0,-54.0,-994.0
-13.0,-55.0,-992.0
-13.0,-54.0,-993.0
-13.0,-54.0,-992.0
-13.0,-54.0,-992.0
-13.0,-55.0,-992.0
-13.0,-53.0,-992.0
-13.0,-54.0,-991.0
-12.0,-55.0,-992.0
-12.0,-53.0,-994.0
-12.0,-54.0,-993.0
-13.0,-55.0,-992.0
-13.0,-53.0,-992.0
-13.0,-53.0,-992.0
-12.0,-53.0,-991.0
-12.0,-54.0,-994.0
-13.0,-55.0,-994.0
-13.0,-53.0,-993.0
-13.0,-55.0,-992.0
-13.0,-54.0,-993.0
-12.0,-54.0,-992.0
-12.0,-55.0,-991.0
-13.0,-54.0,-992.0
-12.0,-54.0,-993.0
-12.0,-54.0,-993.0
-12.0,-55.0,-992.0
-14.0,-54.0,-993.0
-14.0,-53.0,-992.0
-12.0,-54.0,-993.0
-13.0,-55.0,-992.0
-14.0,-54.0,-992.0
-14.0,-54.0,-992.0
-14.0,-54.0,-993.0
-13.0,-55.0,-993.0
-12.0,-53.0,-993.0
-13.0,-54.0,-993.0
-12.0,-53.0,-992.0
-13.0,-54.0,-992.0
-13.0,-54.0,-993.0
-13.0,-54.0,-992.0
-13.0,-54.0,-992.0
-13.0,-55.0,-992.0
-13.0,-54.0,-993.0
-13.0,-54.0,-992.0
-13.0,-53.0,-993.0
-12.0,-54.0,-992.0
-13.0,-53.0,-992.0
-14.0,-55.0,-993.0
-12.0,-53.0,-994.0
-11.0,-53.0,-992.0
-14.0,-52.0,-992.0
-13.0,-53.0,-994.0
-13.0,-54.0,-993.0
-13.0,-55.0,-993.0
-13.0,-53.0,-991.0
-12.0,-54.0,-992.0
-13.0,-54.0,-992.0
-12.0,-54.0,-994.0
-13.0,-54.0,-993.0
-12.0,-53.0,-992.0
-13.0,-54.0,-992.0
-12.0,-54.0,-993.0
-14.0,-54.0,-992.0
-13.0,-54.0,-991.0
-13.0,-53.0,-992.0
-13.0,-53.0,-993.0
-13.0,-53.0,-993.0
-12.0,-54.0,-992.0
-13.0,-54.0,-993.0
-13.0,-54.0,-992.0
-12.0,-54.0,-992.0
-13.0,-54.0,-993.0
-12.0,-54.0,-992.0
-12.0,-54.0,-992.0
-14.0,-55.0,-993.0
-12.0,-55.0,-993.0
